FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
16955,16955,Malcolm Johnson,CLE,RB,748.3,747.2,13,1.7,,1,1
16997,16997,Mario Alford,CIN,WR,748.3,747.2,9,1.7,70.1,0,1
17053,17053,Malcolm Brown,LA,RB,748.3,747.2,8,1.7,,1,1
3601,3601,Eric Weems,ATL,WR,748.3,747.2,11,1.7,0,1,1
8438,8438,Brian Leonard,,RB,748.3,747.2,,1.7,,1,1
11097,11097,Damian Williams,,WR,755.1,754,,1.6,,1,1
13050,13050,David Ausberry,,TE,755.1,754,,1.6,,1,1
13852,13852,Bobby Rainey,NYG,RB,755.1,754,8,1.6,,1,1
17155,17155,Chandler Worthy,NYJ,WR,755.1,754,11,1.6,,1,1
733,733,Jerome Felton,BUF,RB,755.1,754,10,1.6,13.2,1,1
13141,13141,Henry Hynoski,,RB,760.7,759.6,,1.5,,1,1
14538,14538,Jorvorskie Lane,,RB,760.7,759.6,,1.5,,1,1
15038,15038,Tavarres King,NYG,WR,760.7,759.6,8,1.5,,1,1
17079,17079,Kasen Williams,SEA,WR,760.7,759.6,5,1.5,,1,1
12083,12083,Derek Anderson,CAR,QB,765.2,764.1,7,1.4,0.8,1,1
16850,16850,Sean Mannion,LA,QB,765.2,764.1,8,1.4,,1,1
11941,11941,Anthony Armstrong,,WR,767.5,766.4,,1.4,,1,1
13282,13282,Kevin Cone,,WR,767.5,766.4,,1.4,,1,1
15937,15937,Phillip Supernaw,TEN,TE,767.5,766.4,13,1.4,,1,1
17101,17101,Trey Williams,IND,RB,767.5,766.4,10,1.4,,1,1
11439,11439,Antone Smith,,RB,772,770.9,,1.2,,1,1
16134,16134,Jonathan Krause,PHI,WR,772,770.9,4,1.2,,1,1
16848,16848,Sammie Coates,PIT,WR,772,770.9,8,1.2,80,0,1
17360,17360,Rod Smith,DAL,RB,772,770.9,7,1.2,,1,1
5013,5013,Courtney Roby,,WR,772,770.9,,1.2,,1,1
11859,11859,Jason Campbell,,QB,777.6,776.5,,1.2,,1,1
11449,11449,Armanti Edwards,,WR,778.8,777.6,,1.1,,1,1
16327,16327,Scott Simonson,CAR,TE,778.8,777.6,7,1.1,,1,1
6293,6293,Matt Spaeth,PIT,TE,778.8,777.6,8,1.1,2.5,1,1
13218,13218,Mikel Leshoure,,RB,782.1,781,,1,,1,1
17375,17375,Ben Edwards,NYG,WR,782.1,781,8,1,,1,1
10412,10412,Micheal Spurlock,,WR,784.4,783.3,,0.9,,1,1
13861,13861,Orson Charles,,TE,784.4,783.3,,0.9,,1,1
14111,14111,Rod Streater,KC,WR,784.4,783.3,5,0.9,,1,1
16242,16242,Tony Washington,JAX,WR,784.4,783.3,5,0.9,,1,1
4291,4291,Joshua Cribbs,,WR,784.4,783.3,,0.9,,1,1
6138,6138,Ben Obomanu,,WR,784.4,783.3,,0.9,,1,1
14759,14759,David Gilreath,,WR,791.2,790,,0.8,,1,1
17016,17016,Terrence Magee,,RB,791.2,790,,0.8,,1,1
17021,17021,EJ Bibbs,CLE,TE,791.2,790,13,0.8,,1,1
17154,17154,Khari Lee,CHI,TE,791.2,790,9,0.8,,1,1
4097,4097,Tarvaris Jackson,,QB,795.7,794.5,,0.8,,1,1
10405,10405,Zach Potter,,TE,796.8,795.7,,0.7,,1,1
13113,13113,Shaun Chapas,,TE,796.8,795.7,,0.7,,1,1
13171,13171,Aldrick Robinson,ATL,WR,796.8,795.7,11,0.7,,1,1
13729,13729,Damaris Johnson,,WR,796.8,795.7,,0.7,,1,1
15175,15175,Ronnie Wingo,,RB,796.8,795.7,,0.7,,1,1
16576,16576,Nic Jacobs,JAX,TE,796.8,795.7,5,0.7,,1,1
17121,17121,Brian Parker,KC,TE,796.8,795.7,5,0.7,,1,1
12335,12335,Trent Edwards,,QB,804.7,803.6,,0.6,,1,1
10042,10042,Kory Sheets,,RB,805.8,804.7,,0.6,,1,1
12969,12969,Mike McNeill,,TE,805.8,804.7,,0.6,,1,1
15150,15150,Cordarrelle Patterson,MIN,WR,805.8,804.7,6,0.6,,1,1
15725,15725,Brittan Golden,ARI,WR,805.8,804.7,9,0.6,,1,1
16211,16211,Tom Savage,HOU,QB,810.3,809.2,9,0.5,,1,1
11243,11243,Seyi Ajirotutu,,WR,811.4,810.3,,0.5,,1,1
13527,13527,Tyler Clutts,,RB,811.4,810.3,,0.5,,1,1
15056,15056,Brian Leonhardt,MIN,TE,811.4,810.3,6,0.5,,1,1
15134,15134,Kevin Dorsey,,WR,811.4,810.3,,0.5,,1,1
16917,16917,CJ Uzomah,CIN,TE,811.4,810.3,9,0.5,,1,1
5834,5834,Matt Moore,MIA,QB,817.1,815.9,8,0.4,0.9,1,1
13172,13172,Evan Royster,,RB,818.2,817.1,,0.3,,1,1
