StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
36,TCF Bank Stadium,Minneapolis,MN,USA,50805,,44.976,-93.225,201610920,1,2016,9,2016-11-06T13:00:00,DET,MIN,,,,36,,,,,,,,,,
38,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,93607,Grass,34.014167,-118.287778,201610932,1,2016,9,2016-11-06T16:05:00,CAR,LA,,,,38,,,,,,,,,,
37,Levi's Stadium,Santa Clara,CA,USA,68500,,37.404108,-121.970274,201610931,1,2016,9,2016-11-06T16:05:00,NO,SF,,,,37,,,,,,,,,,
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,201610929,1,2016,9,2016-11-06T16:25:00,TEN,SD,,,,14,,,,,,,,,,
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,201610912,1,2016,9,2016-11-06T16:25:00,IND,GB,,,,22,,,,,,,,,,
16,O.co Coliseum,Oakland,CA,USA,53200,Grass,37.751613,-122.200509,201610925,1,2016,9,2016-11-06T20:30:00,DEN,OAK,,,,16,,,,,,,,,,
31,CenturyLink Field,Seattle,WA,USA,67000,Artificial,47.595153,-122.331625,201610930,1,2016,9,2016-11-07T20:30:00,BUF,SEA,,,,31,,,,,,,,,,
,,,,,,,,,,1,2016,10,,BYE,BUF,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,10,,BYE,DET,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,10,,BYE,IND,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,10,,BYE,OAK,,,,,,,,,,,1,,,
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Artificial,39.277985,-76.622788,201611003,1,2016,10,2016-11-10T20:25:00,CLE,BAL,,,,7,,,,,,,,,,
